"default_profile","default_profile_image","tweets_like_by_user","followers_count","geo_enabled","verified","account_age_days","account_type","has_description","has_lang","has_background_image_url"
"FALSE","FALSE",4,1589,"FALSE","FALSE",1403,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",536,860,"FALSE","FALSE",1379,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",3307,172,"TRUE","FALSE",1159,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",8433,517,"TRUE","FALSE",1489,"human","TRUE","TRUE","FALSE"
"FALSE","FALSE",88,753678,"TRUE","TRUE",3138,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",237,27394,"FALSE","FALSE",1366,"bot","TRUE","TRUE","FALSE"
"FALSE","FALSE",5522,291529,"TRUE","TRUE",4059,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",756,6909959,"FALSE","TRUE",2902,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",64,24,"FALSE","FALSE",2802,"human","FALSE","FALSE","TRUE"
"FALSE","FALSE",36384,2130,"TRUE","FALSE",3108,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",127,32,"FALSE","FALSE",3175,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",0,26675,"FALSE","FALSE",2251,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",16614,262121,"TRUE","TRUE",4220,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",49058,1950090,"FALSE","TRUE",3360,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",4071,252142,"TRUE","TRUE",3576,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",81967,5281,"TRUE","FALSE",2920,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",139,0,"FALSE","FALSE",1445,"human","TRUE","TRUE","FALSE"
"TRUE","FALSE",41,0,"FALSE","FALSE",1444,"human","TRUE","TRUE","FALSE"
"FALSE","FALSE",12686,2365,"TRUE","FALSE",3125,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",510,6,"FALSE","FALSE",3242,"bot","FALSE","FALSE","TRUE"
"FALSE","FALSE",534,37278,"TRUE","TRUE",3372,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",187,4,"FALSE","FALSE",2741,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",38493,7383658,"TRUE","TRUE",3470,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",4282,9179,"TRUE","TRUE",3271,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",588,163616,"FALSE","TRUE",4507,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",29136,585,"TRUE","FALSE",3388,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",307,3745,"FALSE","FALSE",1004,"bot","TRUE","TRUE","FALSE"
